SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;Regione;State;Comments
195;San_Nicola_d__Avigliano;195;OD:195;40.7340026715;15.7997303975;848;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
196;San_Salvatore;196;OD:196;40.4340376731;16.7965885223;46;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
197;San_Severino_Lucano;197;OD:197;40.0173386406;16.1320073823;884;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
198;Sant_Arcangelo;198;OD:198;40.2506788815;16.2649254194;370;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
199;Scanzano;199;OD:199;40.2506975236;16.6968971702;23;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
200;Sciffra;200;OD:200;40.5703885563;15.7446246904;780;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
201;Sellata_C.C.;201;OD:201;40.5340002114;15.7831140351;1200;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
202;Senise;202;OD:202;40.1506786087;16.2815381097;330;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
203;Stigliano;203;OD:203;40.3975859707;16.2273575423;908;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** Codice assegnato dopo unione: 54800
204;Teana;204;OD:204;40.1340069241;16.1486234795;800;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
205;Terra_Montonata;205;OD:205;40.304716496;16.7528726406;11;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** Codice assegnato dopo unione: 233200
206;Terranova_di_Pollino;206;OD:206;39.9804455322;16.3037065364;930;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** Codice assegnato dopo unione: 276500
