SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;State;Comments
70;70;LOCONIA;15.9405055556;41.1606083333;102;NA;102;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
71;71;LOCOROTONDO;17.33825;40.7533972222;404;NA;404;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
72;72;LUCERA;15.3356722222;41.5106611111;226;NA;226;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
73;73;MAGLIE;18.2935944444;40.1189861111;102;NA;102;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
74;74;MANDURIA;17.6351555556;40.39795;81;NA;81;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
75;75;MANFREDONIA-BONIFICA_SIPONTINA;15.8802083333;41.5831138889;2;NA;2;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
76;76;MARTINA_FRANCA;17.3452805556;40.6927555556;439;NA;439;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
77;77;MASSAFRA;17.1084166667;40.5755444444;110;NA;110;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
81;81;MASSERIA_MODESTI;16.4055555556;40.9894444444;501;NA;501;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
82;82;MASSERIA_MONTERUGA;17.8287888889;40.3467694444;92;NA;92;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
84;84;MASSERIA_S._CHIARA;16.1344194444;41.3363916667;9;NA;9;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
85;85;MELENDUGNO;18.3332861111;40.2692972222;50;NA;50;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
86;86;MELFI;15.6272194444;40.989125;533;NA;533;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
87;87;MERCADANTE;16.7005555556;40.8896638889;393;NA;393;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;MESAGNE;17.7833333333;40.5590583333;72;NA;72;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
88;88;MINERVINO_DI_LECCE;18.4196;40.0912666667;104;NA;104;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
89;89;MINERVINO_MURGE;16.0840111111;41.0750277778;454;NA;454;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;MONOPOLI;17.3122222222;40.9388888889;14;NA;14;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
92;92;MONTE_S._ANGELO;15.9617944444;41.7055333333;817;NA;817;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
93;93;MONTE_VULTURE;15.6293583333;40.9522055556;1264;NA;1264;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
90;90;MONTELEONE_DI_PUGLIA;15.2587305556;41.1637888889;844;NA;844;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
91;91;MONTEMILONE;15.9656472222;41.0251055556;343;NA;343;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
94;94;MONTICCHIO_BAGNI;15.6067194444;40.9363722222;747;NA;747;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
95;95;MONTURSI;16.8829861111;40.7598361111;387;NA;387;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
96;96;MOTTOLA;17.0411583333;40.6387583333;334;NA;334;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
97;97;NARDO;18.0338388889;40.1727611111;52;NA;52;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
98;98;NOCI;17.1228916667;40.7953305556;431;NA;431;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
99;99;NOVOLI;18.0512472222;40.3780722222;51;NA;51;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
100;100;NUSCO;15.0836194444;40.8875916667;841;NA;841;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
101;101;ORSARA_DI_PUGLIA;15.2665055556;41.280375;683;NA;683;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
102;102;ORTANOVA;15.7068277778;41.3258277778;80;NA;80;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
103;103;ORTO_DI_ZOLFO;15.1539472222;41.3714055556;854;NA;854;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
104;104;OSTUNI;17.5741194444;40.7436555556;115;NA;115;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
105;105;OTRANTO;18.4885444444;40.1437972222;29;NA;29;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;PALAGIANELLO;16.9776388889;40.6115277778;152;NA;152;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
106;106;PALAGIANO;17.0369583333;40.5709777778;33;NA;33;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
107;107;PANNI;15.2804555556;41.2164861111;801;NA;801;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
108;108;PESCOPAGANO;15.3989333333;40.8332;920;NA;920;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
