SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
197;395;Casera Coltrondo;12.2637;46.3955;1613;1613;NA;Veneto;OD:395;Italy
198;396;Campomolon;11.1623;45.5223;358;358;NA;Veneto;OD:396;Italy
201;399;Po a Ficarolo ;11.4203;44.9408;8;8;NA;Veneto;OD:399;Italy
202;400;Livenza a Portobuffol� ;12.8375;45.7864;8;8;NA;Veneto;OD:400;Italy
203;401;Livenza a Motta di Livenza ;12.5356;45.849;11;11;NA;Veneto;OD:401;Italy
204;402;Biois a Cencenighe ;11.9656;46.3507;896;896;NA;Veneto;OD:402;Italy
205;403;Boite a Cancia ;12.2224;46.4306;920;920;NA;Veneto;OD:403;Italy
206;404;Astico a Pedescala ;11.3665;45.8432;371;371;NA;Veneto;OD:404;Italy
207;406;Piave a Ponte della Lasta ;12.5215;46.5366;976;976;NA;Veneto;OD:406;Italy
208;407;Posina a Stancari ;11.336;45.8051;435;435;NA;Veneto;OD:407;Italy
209;408;Bisatto a Vo' Vecchio ;11.6162;45.3237;12;12;NA;Veneto;OD:408;Italy
210;409;Chiampo;11.29394;45.53578;165;165;NA;Veneto;OD:409;Italy
211;425;Bibione;13.07727;45.64064;1;1;NA;Veneto;OD:425;Italy
212;444;Tesina Padovano a Veggiano ;11.7222;45.4453;21;21;NA;Veneto;OD:444;Italy
213;451;Vicenza - Sant'Agostino;11.52063;45.52368;33;33;NA;Veneto;OD:451;Italy
214;452;Verona - Parco Adige Nord;10.95412;45.46143;70;70;NA;Veneto;OD:452;Italy
215;454;Favaro Veneto;12.27934;45.51959;3;3;NA;Veneto;OD:454;Italy
216;456;Po a Cavanella Po ;12.1483;45.0244;1;1;NA;Veneto;OD:456;Italy
217;457;Po a Ca' Dolfin ;12.4361;44.9375;1;1;NA;Veneto;OD:457;Italy
218;458;Po a Porto Tolle ;12.2983;44.9453;1;1;NA;Veneto;OD:458;Italy
219;459;Po a Ca' Venier ;12.33;44.9581;1;1;NA;Veneto;OD:459;Italy
220;462;Meschio a Borgo Campion ;12.34;45.9595;96;96;NA;Veneto;OD:462;Italy
221;463;Meschio a Vittorio Veneto ;12.3003;45.9906;136;136;NA;Veneto;OD:463;Italy
222;464;Nogarolo di Tarzo;12.2461;45.98667;290;290;NA;Veneto;OD:464;Italy
223;47;Faloria;12.17529;46.52677;2210;2210;NA;Veneto;OD:47;Italy
224;48;Podestagno (Cortina d'Ampezzo);12.11253;46.5929;1433;1433;NA;Veneto;OD:48;Italy
225;50;Villanova (Borca di Cadore);12.206480000000001;46.44262;953;953;NA;Veneto;OD:50;Italy
226;505;Ponte Rio Cordon (Selva di Cadore);12.09616;46.45031;1895;1895;NA;Veneto;OD:505;Italy
227;510;Caprino Veronese - Platano;10.81444;45.60805;329;329;NA;Veneto;OD:510;Italy
228;53;Auronzo;12.42613;46.55558;877;877;NA;Veneto;OD:53;Italy
229;544;Mondeval di Sopra (Selva di Cadore);12.1013;46.46371;2215;2215;NA;Veneto;OD:544;Italy
230;55;Pian del Crep (Zoldo Alto);12.09333;46.37868;1629;1629;NA;Veneto;OD:55;Italy
231;551;Sant'Elena;11.69469;45.1957;8;8;NA;Veneto;OD:551;Italy
232;56;Forno di Zoldo - Campo;12.18443;46.34599;875;875;NA;Veneto;OD:56;Italy
233;58;Santo Stefano di Cadore;12.55338;46.557;985;985;NA;Veneto;OD:58;Italy
234;59;Domegge di Cadore;12.41055;46.46028;816;816;NA;Veneto;OD:59;Italy
235;6;Cordevole a Saviner;11.9871;46.442;1152;1152;NA;Veneto;OD:6;Italy
236;60;Malga Campobon (San Pietro di Cadore);12.60384;46.64397;1999;1999;NA;Veneto;OD:60;Italy
237;61;Cimacanale (San Pietro di Cadore);12.63099;46.60138;1266;1266;NA;Veneto;OD:61;Italy
238;62;Padola a Santo Stefano;12.5479;46.5586;999;999;NA;Veneto;OD:62;Italy
