SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
120;1735;Petron?;16.75877778;39.04180556;814;814;NA;Calabria;OD:1735;Italy
121;1740;San Mauro Marchesato;16.92888889;39.10444444;212;212;NA;Calabria;OD:1740;Italy
122;1745;Casa Jolanda;16.64;39.08333333;1560;1560;NA;Calabria;OD:1745;Italy
123;1750;Marcedusa;16.83527778;39.02611111;236;236;NA;Calabria;OD:1750;Italy
124;1755;Petilia Policastro - Pagliarelle;16.748333;39.14166667;745;745;NA;Calabria;OD:1755;Italy
125;1760;Botricello;16.85863889;38.94147222;32;32;NA;Calabria;OD:1760;Italy
126;1761;Vincolise;16.64083306;39.01333333;521;521;NA;Calabria;OD:1761;Italy
127;1780;Cropani;16.78;38.97083333;317;317;NA;Calabria;OD:1780;Italy
128;1790;Sersale;16.72555556;39.01194444;781;781;NA;Calabria;OD:1790;Italy
129;1800;Sellia Marina;16.74363889;38.90602778;55;55;NA;Calabria;OD:1800;Italy
130;1810;Monaco Villaggio Mancuso;16.56777778;39.07305556;1215;1215;NA;Calabria;OD:1810;Italy
131;1815;Racisi;16.55666639;39.08333333;1213;1213;NA;Calabria;OD:1815;Italy
132;1820;Soveria Simeri;16.67402778;38.95022222;382;382;NA;Calabria;OD:1820;Italy
133;1825;Taverna - Ciricilla;16.53358333;39.13963889;1411;1411;NA;Calabria;OD:1825;Italy
135;1830;Albi;16.59833333;39.02638889;803;803;NA;Calabria;OD:1830;Italy
136;1831;Polimieri;16.54222194;39.09361111;1215;1215;NA;Calabria;OD:1831;Italy
137;1832;Orso;16.58444417;39.02777778;709;709;NA;Calabria;OD:1832;Italy
138;1835;Catanzaro Lido SS 106;16.60613889;38.81730556;21;21;NA;Calabria;OD:1835;Italy
139;1840;Sant'Elia;16.58638889;38.96444444;590;590;NA;Calabria;OD:1840;Italy
140;1850;Catanzaro;16.58583333;38.91083333;315;315;NA;Calabria;OD:1850;Italy
141;1851;Catanzaro-Sant'Elia;16.58269444;38.95208333;540;540;NA;Calabria;OD:1851;Italy
143;1855;Santa Maria di Catanzaro;16.59777778;38.84944444;106;106;NA;Calabria;OD:1855;Italy
144;1860;Catanzaro Lido;16.61305556;38.82055556;7;7;NA;Calabria;OD:1860;Italy
145;1864;Vivoli C.C.;16.45666667;39.13833333;1301;1301;NA;Calabria;OD:1864;Italy
146;1865;Borgia - Roccelletta;16.59777778;38.81861111;20;20;NA;Calabria;OD:1865;Italy
147;1870;Carlopoli;16.45444444;39.05611111;934;934;NA;Calabria;OD:1870;Italy
148;1871;Olivella Idrometro;16.56222194;38.96416667;753;753;NA;Calabria;OD:1871;Italy
149;1872;Grascio;16.57194417;38.90916667;307;307;NA;Calabria;OD:1872;Italy
150;1880;Fiorenza;16.49333333;39.09222222;1147;1147;NA;Calabria;OD:1880;Italy
151;1890;Umbri;16.51361111;39.02583333;885;885;NA;Calabria;OD:1890;Italy
152;1900;Olivella;16.53583333;38.96472222;405;405;NA;Calabria;OD:1900;Italy
153;1910;Gimigliano;16.52555556;38.97138889;492;492;NA;Calabria;OD:1910;Italy
154;1920;Borgia;16.50777778;38.82694444;298;298;NA;Calabria;OD:1920;Italy
155;1930;Girifalco;16.42472222;38.82194444;397;397;NA;Calabria;OD:1930;Italy
156;1935;Cenadi - Serralta;16.36833333;38.74916667;949;949;NA;Calabria;OD:1935;Italy
157;1940;Palermiti;16.45286111;38.74919444;525;525;NA;Calabria;OD:1940;Italy
