SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
105;Cornua;CRNU0;OD:CRNU0;44.43409;9.14225;261;Italy;Liguria;Quota ricavata da dem
106;Crocetta di Orero;CROC0;OD:CROC0;44.52014;8.98586;490;Italy;Liguria;Quota ricavata da dem
107;Crocetta di Orero;CRORE;OD:CRORE;44.52014;8.98586;490;Italy;Liguria;Quota ricavata da dem
108;Cassagna;CSGN0;OD:CSGN0;44.33996;9.47037;514;Italy;Liguria;Quota ricavata da dem
111;Cartiera Valle;CVAL0;OD:CVAL0;44.40776;8.65104;64;Italy;Liguria;Quota ricavata da dem
114;Dolcedo;DLCD0;OD:DLCD0;43.90674;7.95115;143;Italy;Liguria;Quota ricavata da dem
115;Dolcedo;DOLCD;OD:DOLCD;43.90674;7.95115;143;Italy;Liguria;Quota ricavata da dem
117;Davagna;DVGN0;OD:DVGN0;44.46781;9.09539;475;Italy;Liguria;Quota ricavata da dem
118;Diga Val Noci;DVNO0;OD:DVNO0;44.49291;9.03475;665;Italy;Liguria;Quota ricavata da dem
119;Ellera;ELLE0;OD:ELLE0;44.36218;8.46848;166;Italy;Liguria;Quota ricavata da dem
121;Ellera;ELRA0;OD:ELRA0;44.36301;8.4647;113;Italy;Liguria;Quota ricavata da dem
122;Panesi;EPAN0;OD:EPAN0;44.34209;9.35624;50;Italy;Liguria;Quota ricavata da dem
123;Equi terme;EQUIT;OD:EQUIT;44.16905;10.14987;358;Italy;Liguria;Quota ricavata da dem
124;Equi Terme;ETRME;OD:ETRME;44.16905;10.14987;358;Italy;Liguria;Quota ricavata da dem
125;Genova - S. Eusebio;EUSE0;OD:EUSE0;44.44309;8.98836;187;Italy;Liguria;Quota ricavata da dem
126;Favale di Malvaro;FAV20;OD:FAV20;44.45242;9.25877;420;Italy;Liguria;Quota ricavata da dem
127;Favale di Malvaro;FAVA0;OD:FAVA0;44.45242;9.25877;420;Italy;Liguria;Quota ricavata da dem
128;Feglino;FEGL0;OD:FEGL0;44.2204;8.32505;214;Italy;Liguria;Quota ricavata da dem
133;La Foce;FOSP0;OD:FOSP0;44.12485;9.78808;269;Italy;Liguria;Quota ricavata da dem
134;Fornola;FRNLA;OD:FRNLA;44.13805;9.90619;17;Italy;Liguria;Quota ricavata da dem
135;Fiorino;FRNO0;OD:FRNO0;44.46494;8.70493;306;Italy;Liguria;Quota ricavata da dem
136;Garlenda;GARL0;OD:GARL0;44.03337;8.0974;148;Italy;Liguria;Quota ricavata da dem
137;Genova - Castellaccio;GCAS0;OD:GCAS0;44.42834;8.93448;171;Italy;Liguria;Quota ricavata da dem
142;Genova - Pontedecimo;GEPTX;OD:GEPTX;44.48852;8.9001;181;Italy;Liguria;Quota ricavata da dem
143;Grattola;GGRA0;OD:GGRA0;44.37;9.88;241;Italy;Liguria;Quota ricavata da dem
145;Pontremoli - S.Giustina;GIUS0;OD:GIUS0;44.36182;9.89656;226;Italy;Liguria;Quota ricavata da dem
146;Ca' di Ferra;GOTTR;OD:GOTTR;44.28059;9.66244;225;Italy;Liguria;Quota ricavata da dem
148;Giacopiane;GPIA0;OD:GPIA0;44.46268;9.39525;998;Italy;Liguria;Quota ricavata da dem
149;Madonna della Guardia;GUAR0;OD:GUAR0;44.48905;8.86297;642;Italy;Liguria;Quota ricavata da dem
150;Madonna della Guardia;GUARD;OD:GUARD;44.48905;8.86297;642;Italy;Liguria;Quota ricavata da dem
151;Guinadi - Presa Verde;GUIND;OD:GUIND;44.41206;9.84836;446;Italy;Liguria;Quota ricavata da dem
152;Iera;IERA2;OD:IERA2;44.33267;10.03362;637;Italy;Liguria;Quota ricavata da dem
153;Iera;IERAA;OD:IERAA;44.33304;10.03354;680;Italy;Liguria;Quota ricavata da dem
154;Genova - S. Ilario;ILAR0;OD:ILAR0;44.384;9.06066;237;Italy;Liguria;Quota ricavata da dem
155;Imperia - Oss. Meteosismico;IMP20;OD:IMP20;43.87957;8.01652;46;Italy;Liguria;Quota ricavata da dem
157;Savona - Istituto Nautico;INASV;OD:INASV;44.3062;8.48305;5;Italy;Liguria;Quota ricavata da dem
158;Albenga - Isolabella;ISBLL;OD:ISBLL;44.06875;8.17956;34;Italy;Liguria;Quota ricavata da dem
159;Isolabona;ISBO0;OD:ISBO0;43.87758;7.63767;151;Italy;Liguria;Quota ricavata da dem
160;Isola del Cantone;ISOC0;OD:ISOC0;44.645;8.9586;388;Italy;Liguria;Quota ricavata da dem
161;Albenga - Isolabella;ISOL0;OD:ISOL0;44.06866;8.17985;34;Italy;Liguria;Quota ricavata da dem
162;Isoverde;ISOVE;OD:ISOVE;44.53013;8.85822;253;Italy;Liguria;Quota ricavata da dem
164;Isoverde;ISVD0;OD:ISVD0;44.53013;8.85822;253;Italy;Liguria;Quota ricavata da dem
165;Laccio;LACI0;OD:LACI0;44.49529;9.13061;619;Italy;Liguria;Quota ricavata da dem
167;La Presa;LAPRS;OD:LAPRS;44.44076;9.04717;290;Italy;Liguria;Quota ricavata da dem
168;S. Martino;LASM0;OD:LASM0;44.36047;9.34033;100;Italy;Liguria;Quota ricavata da dem
170;Lavezze - Lago;LAVE0;OD:LAVE0;44.54953;8.82328;705;Italy;Liguria;Quota ricavata da dem
171;Loco Carchelli;LCAR0;OD:LCAR0;44.55604;9.28601;680;Italy;Liguria;Quota ricavata da dem
174;La Foce;LFSPE;OD:LFSPE;44.12485;9.78808;269;Italy;Liguria;Quota ricavata da dem
175;Giacopiane;LGIAC;OD:LGIAC;44.46268;9.39525;998;Italy;Liguria;Quota ricavata da dem
176;Levanto;LNTO0;OD:LNTO0;44.17346;9.61578;27;Italy;Liguria;Quota ricavata da dem
177;Verzi Loano;LOAN0;OD:LOAN0;44.15611;8.23647;205;Italy;Liguria;Quota ricavata da dem
178;Lerca;LRCA0;OD:LRCA0;44.4035;8.64766;93;Italy;Liguria;Quota ricavata da dem
179;Salto del Lupo;LUPO0;OD:LUPO0;44.13992;8.18301;261;Italy;Liguria;Quota ricavata da dem
180;Levanto;LVANT;OD:LVANT;44.17346;9.61578;27;Italy;Liguria;Quota ricavata da dem
183;Pontremoli - S.Giustina;MAGSG;OD:MAGSG;44.36182;9.89656;226;Italy;Liguria;Quota ricavata da dem
184;Madonna delle Grazie;MAGZ0;OD:MAGZ0;44.43429;8.74155;77;Italy;Liguria;Quota ricavata da dem
185;Manie;MANI0;OD:MANI0;44.19866;8.37656;292;Italy;Liguria;Quota ricavata da dem
188;Marsiglia;MARS0;OD:MARS0;44.47043;8.92044;153;Italy;Liguria;Quota ricavata da dem
189;Matucaso;MAT20;OD:MAT20;44.27157;10.16665;725;Italy;Liguria;Quota ricavata da dem
190;Matucaso;MATU0;OD:MATU0;44.27157;10.16665;725;Italy;Liguria;Quota ricavata da dem
191;Mazzola;MAZLA;OD:MAZLA;44.21117;10.11668;530;Italy;Liguria;Quota ricavata da dem
192;Mazzola;MAZZ0;OD:MAZZ0;44.21061;10.11584;433;Italy;Liguria;Quota ricavata da dem
193;Madonna del Bosco;MBO20;OD:MBO20;44.4188;9.1328;381;Italy;Liguria;Quota ricavata da dem
195;Mele;MEL20;OD:MEL20;44.47419;8.73312;351;Italy;Liguria;Quota ricavata da dem
196;Mele;MELEE;OD:MELEE;44.47419;8.73312;351;Italy;Liguria;Quota ricavata da dem
197;Merelli;MERE0;OD:MERE0;43.88137;7.84759;130;Italy;Liguria;Quota ricavata da dem
199;Mignanego;MGNG0;OD:MGNG0;44.53978;8.93975;339;Italy;Liguria;Quota ricavata da dem
200;Madonna delle Grazie;MGRAZ;OD:MGRAZ;44.43429;8.74155;77;Italy;Liguria;Quota ricavata da dem
202;Mignanego;MIGNA;OD:MIGNA;44.54028;8.93816;339;Italy;Liguria;Quota ricavata da dem
203;Millesimo;MILL0;OD:MILL0;44.35964;8.20845;529;Italy;Liguria;Quota ricavata da dem
204;Montale di Levanto;MLEV0;OD:MLEV0;44.1883;9.6274;112;Italy;Liguria;Quota ricavata da dem
206;Murella d'Isola;MMISL;OD:MMISL;44.18542;9.92608;63;Italy;Liguria;Quota ricavata da dem
