SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale
79;127050;Solofra;14.85511111;40.82366667;557;557;NA;Campania;OD:127050;Italy;18933;Solofra;NA;NA
80;127080;Cancello Arnone;14.02808333;41.07444444;8;8;NA;Campania;OD:127080;Italy;NA;NA;NA;NA
81;127090;Ponte Annibale;14.26;41.13072222;73;73;NA;Campania;OD:127090;Italy;NA;NA;NA;NA
82;127100;Ponte Limatola;14.40147222;41.14719444;43;43;NA;Campania;OD:127100;Italy;NA;NA;NA;NA
83;127110;Quattroventi;14.21241667;41.35291667;111;111;NA;Campania;OD:127110;Italy;21452;Quattroventi;NA;NA
85;127130;Ponte Valentino;14.83602778;41.14166667;147;147;NA;Campania;OD:127130;Italy;20912;Ponte Valentino;NA;NA
90;127210;Castel Volturno;13.93997222;41.03388889;2;2;NA;Campania;OD:127210;Italy;20881;Castel Volturno;NA;NA
91;127220;Sele alla Foce;14.94891667;40.48116667;1;1;NA;Campania;OD:127220;Italy;NA;NA;NA;NA
92;127230;Cologna;14.77588889;40.71919444;221;221;NA;Campania;OD:127230;Italy;21521;Cologna;NA;NA
93;127240;Pontecagnano;14.86644444;40.64255556;26;26;NA;Campania;OD:127240;Italy;21530;Pontecagnano;NA;NA
94;127250;Battipaglia Idro;14.98252778;40.61413889;73;73;NA;Campania;OD:127250;Italy;NA;NA;NA;NA
95;127260;Ravello;14.61469444;40.65672222;319;319;NA;Campania;OD:127260;Italy;21756;Ravello;21757;Ravello
98;127290;Roccamonfina;13.96822222;41.27697222;588;588;NA;Campania;OD:127290;Italy;21792;Roccamonfina;22717;Roccamonfina
99;127300;Colle Sannita;14.83936111;41.36883333;762;762;NA;Campania;OD:127300;Italy;20897;Colle Sannita;20898;Colle Sannita
100;127310;Castelfranco in Miscano;15.08822222;41.29952778;724;724;NA;Campania;OD:127310;Italy;21785;Castelfranco in Miscano;21786;Castelfranco in Miscano
101;127320;Ariano Irpino;15.08541667;41.14852778;634;634;NA;Campania;OD:127320;Italy;21770;Ariano Irpino;21771;Ariano Irpino
102;127330;Luogosano;15.00311111;40.98394444;409;409;NA;Campania;OD:127330;Italy;20901;Luogosano;20902;Luogosano
103;127340;Pietrastornina;14.73419444;40.99269444;409;409;NA;Campania;OD:127340;Italy;20905;Pietrastornina;20906;Pietrastornina
104;127350;Castiglione del Genovesi;14.84830556;40.72002778;514;514;NA;Campania;OD:127350;Italy;21778;Castiglione del Genovesi;NA;NA
106;127370;Baronissi;14.76627778;40.75127778;200;200;NA;Campania;OD:127370;Italy;21774;Baronissi;NA;NA
108;127390;Altavilla Irpina;14.78386111;41.00627778;381;381;NA;Campania;OD:127390;Italy;21742;Altavilla Irpina;21743;Altavilla Irpina
109;127400;Avella;14.59511111;40.95938889;215;215;NA;Campania;OD:127400;Italy;20909;Avella;NA;NA
110;127410;Avellino-Genio Civile;14.78358333;40.91197222;346;346;NA;Campania;OD:127410;Italy;20889;Avellino-Genio Civile;20890;Avellino-Genio Civile
111;127420;Serino;14.84452778;40.89136111;336;336;NA;Campania;OD:127420;Italy;21746;Serino;21747;Serino
112;127430;Cusano Mutri;14.52055556;41.32766667;372;372;NA;Campania;OD:127430;Italy;20893;Cusano Mutri;20894;Cusano Mutri
113;127440;Ercolano;14.37244444;40.82555556;207;207;NA;Campania;OD:127440;Italy;21760;Ercolano;21761;Ercolano
114;127450;Sorrento;14.38233333;40.62991667;26;26;NA;Campania;OD:127450;Italy;21739;Sorrento;NA;NA
115;127460;Agerola;14.545;40.63825;601;601;NA;Campania;OD:127460;Italy;21767;Agerola;NA;NA
116;127470;Gragnano;14.52638889;40.68652778;249;249;NA;Campania;OD:127470;Italy;21789;Gragnano;NA;NA
117;127480;Maiori;14.63958333;40.65038889;106;106;NA;Campania;OD:127480;Italy;21750;Maiori;NA;NA
118;127490;Amalfi;14.57958333;40.62227778;119;119;NA;Campania;OD:127490;Italy;21753;Amalfi;NA;NA
119;127500;Cetara;14.70261111;40.65016667;143;143;NA;Campania;OD:127500;Italy;21764;Cetara;NA;NA
120;127510;Tramonti;14.64622222;40.70280556;511;511;NA;Campania;OD:127510;Italy;21735;Tramonti;21736;Tramonti
121;127530;Pontelatone;14.24183333;41.20436111;196;196;NA;Campania;OD:127530;Italy;21781;Pontelatone;21782;Pontelatone
122;145320;Rocchetta;14.97075;41.12461111;523;523;NA;Campania;OD:145320;Italy;37283;Rocchetta;37284;Rocchetta
123;145330;Montecorvino Rovella;14.98394444;40.66236111;144;144;NA;Campania;OD:145330;Italy;37291;Montecorvino Rovella;37292;Montecorvino Rovella
124;145340;Roccadaspide;15.17036111;40.47597222;371;371;NA;Campania;OD:145340;Italy;36896;Roccadaspide;36897;Roccadaspide
125;145350;Morigerati;15.56183333;40.14394444;404;404;NA;Campania;OD:145350;Italy;40111;Morigerati;40112;Morigerati
126;145360;Moiano;14.46388889;40.6535;531;531;NA;Campania;OD:145360;Italy;36905;Moiano;36906;Moiano
127;145370;Positano;14.50344444;40.6305;429;429;NA;Campania;OD:145370;Italy;37717;Positano;37718;Positano
128;145380;Pizzolano;14.78663889;40.78502778;334;334;NA;Campania;OD:145380;Italy;38977;Pizzolano;38978;Pizzolano
129;145390;Sala Consilina;15.60305556;40.39433333;785;785;NA;Campania;OD:145390;Italy;36908;Sala Consilina;36909;Sala Consilina
130;145400;Vallo della Lucania;15.26261111;40.22988889;371;371;NA;Campania;OD:145400;Italy;37294;Vallo della Lucania;37295;Vallo della Lucania
131;145410;Palma Campania;14.56094444;40.87488889;87;87;NA;Campania;OD:145410;Italy;37261;Palma Campania;37262;Palma Campania
132;145430;Capaccio;14.96594444;40.46847222;3;3;NA;Campania;OD:145430;Italy;36580;Capaccio;36581;Capaccio
133;145440;Morcone;14.66602778;41.33536111;583;583;NA;Campania;OD:145440;Italy;37714;Morcone;37715;Morcone
134;145450;S.Maria a Vico;14.48602778;41.02758333;109;109;NA;Campania;OD:145450;Italy;36899;S.Maria a Vico;36900;S.Maria a Vico
135;145460;Letino;14.25302778;41.45391667;954;954;NA;Campania;OD:145460;Italy;37720;Letino;37721;Letino
136;145470;Cassano Irpino;15.02944444;40.88008333;461;461;NA;Campania;OD:145470;Italy;36576;Cassano Irpino;36577;Cassano Irpino
137;145480;Rocca d'Evandro;13.88997222;41.40583333;23;23;NA;Campania;OD:145480;Italy;36924;Rocca d'Evandro;NA;NA
138;145490;Omignano Scalo;15.12997222;40.25769444;40;40;NA;Campania;OD:145490;Italy;37384;Omignano Scalo;NA;NA
139;145500;Alfano;15.43113889;40.17525;210;210;NA;Campania;OD:145500;Italy;40114;Alfano;NA;NA
140;145510;Mugnano del Cardinale;14.62530556;40.941305560000004;236;236;NA;Campania;OD:145510;Italy;36881;Mugnano del Cardinale;NA;NA
141;145520;Melito Irpino;15.05355556;41.09102778;347;347;NA;Campania;OD:145520;Italy;37530;Melito Irpino;NA;NA
142;145530;Pago Veiano;14.89761111;41.25983333;287;287;NA;Campania;OD:145530;Italy;36914;Pago Veiano;NA;NA
143;145540;Capua;14.20833333;41.10886111;24;24;NA;Campania;OD:145540;Italy;37534;Capua;NA;NA
144;145550;Sicignano;15.29258333;40.60469444;201;201;NA;Campania;OD:145550;Italy;36891;Sicignano;NA;NA
145;145560;S.Marzano Sarno;14.57330556;40.77994444;15;15;NA;Campania;OD:145560;Italy;36887;S.Marzano Sarno;NA;NA
