SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
91;TOS01002011;Miemo;10.670702;43.410186;440;440;NA;Toscana;OD:TOS01002011;Italy
92;TOS01002071;Gerfalco;10.975141;43.142435;686;686;NA;Toscana;OD:TOS01002071;Italy
93;TOS01002085;Anqua;10.98731;43.215242;409;409;NA;Toscana;OD:TOS01002085;Italy
94;TOS01002104;Montecastelli P.;10.957532;43.263688;412;412;NA;Toscana;OD:TOS01002104;Italy
95;TOS01002115;Ponsano;10.990347;43.365308;316;316;NA;Toscana;OD:TOS01002115;Italy
96;TOS01002131;Montecatini V. Cecina;10.743084;43.387148;344;344;NA;Toscana;OD:TOS01002131;Italy
97;TOS01002161;Libbiano;10.806942;43.281767;419;419;NA;Toscana;OD:TOS01002161;Italy
98;TOS01002171;Canneto;10.739307;43.202337;310;310;NA;Toscana;OD:TOS01002171;Italy
99;TOS01002181;Sassa;10.691371;43.257956;359;359;NA;Toscana;OD:TOS01002181;Italy
100;TOS01002201;Montescudaio;10.632581;43.326721;171;171;NA;Toscana;OD:TOS01002201;Italy
101;TOS01002231;Riparbella;10.603037;43.367253;241;241;NA;Toscana;OD:TOS01002231;Italy
102;TOS01002309;Sasso Pisano;10.8672;43.169745;473;473;NA;Toscana;OD:TOS01002309;Italy
103;TOS01002331;Serrazzano;10.820042;43.222155;475;475;NA;Toscana;OD:TOS01002331;Italy
104;TOS01002351;Lago;10.807232;43.154992;268;268;NA;Toscana;OD:TOS01002351;Italy
105;TOS01002361;Lustignano;10.797592;43.1859;356;356;NA;Toscana;OD:TOS01002361;Italy
106;TOS01002371;Monterotondo;10.858556;43.150218;605;605;NA;Toscana;OD:TOS01002371;Italy
107;TOS01002376;Monteverdi;10.716197;43.184386;408;408;NA;Toscana;OD:TOS01002376;Italy
108;TOS01002381;Sassetta;10.639867;43.124135;407;407;NA;Toscana;OD:TOS01002381;Italy
