SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;COD_RETE
13310;811934;Varano Marchesi Cava;10.023631;44.733399;305;NA;305;Emilia;15
13311;82946;Varano Melegari;10.002222;44.683333;203;NA;203;Emilia;15
13312;811998;Varignana;11.524864000000001;44.414075;84;NA;84;Emilia;15
13313;88246;Varsi;9.821047;44.649418;517;NA;517;Emilia;15
13314;85980;Varzi;9.201195;44.82128;439;NA;439;Emilia;15
13315;82941;Vedriano;10.402222;44.516667;657;NA;657;Emilia;15
13316;85744;Veixe;9.052236;44.499999;819;NA;819;Emilia;15
13317;88265;Vergato;11.11312;44.287794;207;NA;207;Emilia;15
13318;88287;Verghereto;12.004406;43.795193;844;NA;844;Emilia;15
13319;811935;Vergiano;12.5005;44.034557;31;NA;31;Emilia;15
13320;84769;Verucchio;12.423056;43.980556;293;NA;293;Emilia;15
13321;85745;Vetto;10.334664;44.48236;580;NA;580;Emilia;15
13322;811936;Vetto Ponte;10.329979;44.493422;387;NA;387;Emilia;15
13323;87352;Vezzano sul Crostolo;10.543826;44.604237;173;NA;173;Emilia;15
13324;84770;Via Nuova;11.677222;44.473889;18;NA;18;Emilia;15
13325;85746;Vianino;9.935556;44.683333;314;NA;314;Emilia;15
13326;811937;Vicobarone;9.378722;44.991539;248;NA;248;Emilia;15
13327;85747;Vigatto;10.335556;44.716667;113;NA;113;Emilia;15
13328;811938;Vignola;11.004141;44.504051;103;NA;103;Emilia;15
13329;84772;Villa Fontana;11.610556;44.494444;20;NA;20;Emilia;15
13330;85748;Villa Masone;10.717997;44.665709;55;NA;55;Emilia;15
13331;85749;Villa Minozzo;10.460034;44.362511;661;NA;661;Emilia;15
13332;85981;Villa Morini;8.985556;44.966667;109;NA;109;Emilia;15
13333;85982;Villa Roccagioia D. Rose;9.085556;44.983333;120;NA;120;Emilia;15
13334;84773;Villa San Martino;11.863333;44.418056;14;NA;14;Emilia;15
13335;84774;Villagrande;12.343889;43.838056;999;NA;999;Emilia;15
13336;811999;Villanova sullArda;10.005655;45.026832;39;NA;39;Emilia;15
13337;85983;Voghera;8.996037;44.991679;92;NA;92;Emilia;15
13338;812000;Volano;12.250367;44.812868;1;NA;1;Emilia;15
13339;811943;Voltana;11.93626;44.545372;7;NA;7;Emilia;15
13340;814402;Voltre;12.043261;44.032477;326;NA;326;Emilia;15
13341;85750;Zavattarello;9.268889;44.866667;474;NA;474;Emilia;15
13342;85751;Zebedassi;9.052222;44.733333;443;NA;443;Emilia;15
13343;85752;Zerba;9.285556;44.666667;979;NA;979;Emilia;15
13344;85753;Zibello;10.126095;45.019453;34;NA;34;Emilia;15
13345;811940;Zibello - S.Antonio;10.167862;45.006946;32;NA;32;Emilia;15
13346;85754;Zocca;10.993379;44.346804;736;NA;736;Emilia;15
13347;84776;Zola Predosa;11.200052;44.49614;67;NA;67;Emilia;15
13348;85648;diga del Brasimone;11.117775;44.129064;956;NA;956;Emilia;15
13349;85649;diga di Pavana;11.005552;44.11826;467;NA;467;Emilia;15
13350;88289;diga di Quarto;12.086371;43.890673;387;NA;387;Emilia;15
13351;85650;diga di Suviana;11.042988;44.134424;479;NA;479;Emilia;15
