SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
2173;5820;SAGITTARIO a VILLALAGO;13.83566667;41.93833333;919;919;NA;Abruzzo;OD:5820;Italia
2174;585;CAMPO IMPERATORE (SIAP);13.569;42.45;2289;2289;NA;Abruzzo;OD:585;Italia
2175;5870;SAGITTARIO a CAPO CANALE;13.86638889;42.12333333;315;315;NA;Abruzzo;OD:5870;Italia
2176;590;ASSERGI;13.51805556;42.41972222;1016;1016;NA;Abruzzo;OD:590;Italia
2177;5900;ATERNO SAGITTARIO ad  ALLOGGIAMENTO IDR.;13.82972222;42.15638889;251;251;NA;Abruzzo;OD:5900;Italia
2178;5920;PESCARA a MARAONE;13.83861111;42.18;291;291;NA;Abruzzo;OD:5920;Italia
2179;5940;TIRINO a MADONNINA;13.82222222;42.21416667;332;332;NA;Abruzzo;OD:5940;Italia
2180;5970;TIRINO A BUSSI SCALO;13.85233333;42.2;559;559;NA;Abruzzo;OD:5970;Italia
2181;5984;ORFENTO a CARAMANICO;14.00083333;42.16222222;546;546;NA;Abruzzo;OD:5984;Italia
2182;5988;ORTE a MUSELLARO;13.96;42.19388889;350;350;NA;Abruzzo;OD:5988;Italia
2183;5990;ORTE a BOLOGNANO;13.95233333;42.21666667;294;294;NA;Abruzzo;OD:5990;Italia
2184;60;PAGLIAROLI  (ex CORTINO);13.54194444;42.63166667;865;865;NA;Abruzzo;OD:60;Italia
2185;600;BAZZANO;13.45233333;42.33333333;613;613;NA;Abruzzo;OD:600;Italia
2186;6020;LAVINO a SCAFA;14.00238889;42.26444444;112;112;NA;Abruzzo;OD:6020;Italia
2187;6030;PESCARA AD ALANNO;14.01305556;42.27083333;91;91;NA;Abruzzo;OD:6030;Italia
2188;6050;CIGNO A PIANO NUOVO;14.03566667;42.31666667;181;181;NA;Abruzzo;OD:6050;Italia
2189;6060;CIGNO A PONTE ROSCIANO;14.05233333;42.35;100;100;NA;Abruzzo;OD:6060;Italia
2190;6070;NORA A CEPAGATTI;14.05233333;42.35;100;100;NA;Abruzzo;OD:6070;Italia
2191;6090;PESCARA A VILLAREIA;14.11944444;42.34194444;35;35;NA;Abruzzo;OD:6090;Italia
2192;610;POGGIO PICENZE;13.55233333;42.31666667;851;851;NA;Abruzzo;OD:610;Italia
2193;6130;PESCARA a SAMBUCETO;14.15233333;42.41666667;25;25;NA;Abruzzo;OD:6130;Italia
2194;6140;PESCARA a S.TERESA;14.16277778;42.42361111;13;13;NA;Abruzzo;OD:6140;Italia
2195;6145;PESCARA A S.TERESA, VALLE DIGA;14.16638889;42.42611111;16;16;NA;Abruzzo;OD:6145;Italia
2196;6250;ALENTO A RIPA TEATINA;14.23416667;42.37027778;65;65;NA;Abruzzo;OD:6250;Italia
2197;6290;ALENTO a S. LEONARDO;14.27666667;42.42222222;33;33;NA;Abruzzo;OD:6290;Italia
2198;630;ROCCA DI MEZZO;13.52055556;42.2025;1291;1291;NA;Abruzzo;OD:630;Italia
2199;6320;FORO a PONTE di VACRI;14.23444444;42.30861111;124;124;NA;Abruzzo;OD:6320;Italia
2201;6390;FORO a TORRE FORO;14.319;42.4;1;1;NA;Abruzzo;OD:6390;Italia
2202;6395;FORO a MOLINO GALASSO;14.31833333;42.38694444;27;27;NA;Abruzzo;OD:6395;Italia
2203;640;BEFFI;13.67694444;42.19194444;689;689;NA;Abruzzo;OD:640;Italia
2204;650;CAMPANA;13.56722222;42.24777778;599;599;NA;Abruzzo;OD:650;Italia
2205;6560;FELTRINO a S.VITO;14.43944444;42.29638889;50;50;NA;Abruzzo;OD:6560;Italia
2206;6610;SANGRO ad OPI;13.83361111;41.78472222;1113;1113;NA;Abruzzo;OD:6610;Italia
2207;6620;SANGRO a VILLETTA  BARREA;13.91916667;41.77722222;1152;1152;NA;Abruzzo;OD:6620;Italia
2208;6630;SANGRO a BARREA;13.98566667;41.76666667;1313;1313;NA;Abruzzo;OD:6630;Italia
2209;6650;SANGRO ad ALFEDENA;14.03566667;41.73333333;895;895;NA;Abruzzo;OD:6650;Italia
2210;6660;RIO TORTO ad ALFEDENA;14.03566667;41.73333333;895;895;NA;Abruzzo;OD:6660;Italia
2211;6670;ZITTOLA a MONTENERO;14.09361111;41.75166667;827;827;NA;Abruzzo;OD:6670;Italia
2212;6690;SANGRO ad ATELETA;14.21111111;41.85444444;773;773;NA;Abruzzo;OD:6690;Italia
2213;670;GORIANO SICOLI;13.79888889;42.08222222;884;884;NA;Abruzzo;OD:670;Italia
2214;6720;SANGRO a VILLA S.MARIA;14.35638889;41.955;311;311;NA;Abruzzo;OD:6720;Italia
2215;6750;AVENTINO a LAMA DEI PELIGNI;14.18566667;42.01666667;445;445;NA;Abruzzo;OD:6750;Italia
2216;6760;AVENTINO a VICENNE;14.22722222;42.065;324;324;NA;Abruzzo;OD:6760;Italia
2217;6800;VERDE a VISCARDI;14.21805556;42.09833333;392;392;NA;Abruzzo;OD:6800;Italia
2218;6810;VERDE a VISCARDI;14.21805556;42.09833333;392;392;NA;Abruzzo;OD:6810;Italia
2219;6820;VERDE a VISCARDI  canale c.le DE CECCO;14.219;42.1;376;376;NA;Abruzzo;OD:6820;Italia
2220;6880;SANGRO al PONTE DI GUASTACCONCIO;14.78566667;42.18333333;0;0;NA;Abruzzo;OD:6880;Italia
2221;6890;SANGRO a PAGLIETA;14.50472222;42.19944444;22;22;NA;Abruzzo;OD:6890;Italia
2222;690;PASSO GODI;13.92944444;41.83694444;1582;1582;NA;Abruzzo;OD:690;Italia
2224;700;SCANNO;13.8775;41.90694444;1035;1035;NA;Abruzzo;OD:700;Italia
2225;7020;OSENTO a S. TOMMASO;14.58416667;42.20333333;25;25;NA;Abruzzo;OD:7020;Italia
