SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;SiteName.serieRecente;SiteNameAnnale;FullSiteCode;localita;comune;provincia;State;Comments
140;140;San Benedetto;13.889167;42.933224;6;NA;6;Marche;San Benedetto;San Benedetto;OD:140;S.Benedetto del Tronto;San Benedetto del Tronto;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
142;142;Montemonaco;13.32611;42.899452;995;NA;995;Marche;Montemonaco;Montemonaco;OD:142;Montemonaco;Montemonaco;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
143;143;Force;13.489691;42.962967;643;NA;643;Marche;Force;Force;OD:143;Force;Force;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
146;146;Porto Sant' Elpidio;13.772406;43.232677;9;NA;9;Marche;Porto Sant' Elpidio;Porto Sant' Elpidio;OD:146;Porto S.Elpidio;Porto Sant'Elpidio;FM;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
147;147;Grottazzolina;13.598611;43.10611;200;NA;200;Marche;Grottazzolina;Grottazzolina;OD:147;Grottazzolina;Grottazzolina;FM;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
148;148;Fermo;13.714444;43.157501;224;NA;224;Marche;Fermo;Fermo;OD:148;Fermo;Fermo;FM;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
149;149;Ancona Regione;13.508361;43.610359;91;NA;91;Marche;Ancona Regione;Ancona Regione;OD:149;Ancona;Ancona;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
150;150;Ussita;13.1425;42.943638;749;NA;749;Marche;Ussita;Ussita;OD:150;Ussita;Ussita;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
151;151;Fossombrone;12.798468;43.694527;96;NA;96;Marche;Fossombrone;Fossombrone;OD:151;Fossombrone;Fossombrone;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
152;152;Fano;13.053796;43.826328;7;NA;7;Marche;Fano;Fano;OD:152;Metaurilia;Fano;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
153;153;Grottammare;13.870462;42.977432;7;NA;7;Marche;Grottammare;Grottammare;OD:153;Grottammare;Grottammare;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
154;154;Civitanova Marche;13.714719;43.290543;8;NA;8;Marche;Civitanova Marche;Civitanova Marche;OD:154;Civitanova Marche;Civitanova Marche;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
160;160;Meteomarina CADSEALAND;13.672242;43.42337;0;NA;0;Marche;Meteomarina CADSEALAND;Meteomarina CADSEALAND;OD:160;Porto Recanati;Porto Recanati;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
162;162;Osimo Monteragolo;13.501806;43.492374;123;NA;123;Marche;Osimo Monteragolo;Osimo Monteragolo;OD:162;Monteragolo;Osimo;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
165;165;Rostighello;13.53819;43.43821;28;NA;28;Marche;Rostighello;Rostighello;OD:165;Rostighello;Recanati;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
166;166;Svarchi;13.594651;43.475464;6;NA;6;Marche;Svarchi;Svarchi;OD:166;Svarchi;Numana;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
171;171;Endesa;13.098633;42.926182;700;NA;700;Marche;Endesa;Endesa;OD:171;Visso;Visso;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
172;172;Ponte Tavola;13.13815;42.904469;709;NA;709;Marche;Ponte Tavola;Ponte Tavola;OD:172;Ponte Tavola;Castelsantangelo sul Nera;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
174;174;Montecchio;12.764225;43.849812;40;NA;40;Marche;Montecchio;Montecchio;OD:174;Montecchio;Sant'Angelo in Lizzola;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
175;175;Monte Paganuccio;12.758709;43.628101;889;NA;889;Marche;Monte Paganuccio;Monte Paganuccio;OD:175;Monte Paganuccio;Cagli;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
176;176;Foresta della Cesana;12.7675;43.6926;633;NA;633;Marche;Foresta della Cesana;Foresta della Cesana;OD:176;Cesane Foresta;Fossombrone;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
180;180;Fiumesino;13.37239;43.629501;5;NA;5;Marche;Fiumesino;Fiumesino;OD:180;Fiumesino;Falconara Marittima;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
181;181;Marina di Montemarciano;13.34;43.646;5;NA;5;Marche;Marina di Montemarciano;Marina di Montemarciano;OD:181;Marina di Montemarciano;Montemarciano;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
201;201;Bolognola;13.239088;42.991081;1360;NA;1360;Marche;Bolognola;Bolognola;OD:201;Pintura;Bolognola;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
202;202;Sibilla;13.270284;42.895138;1740;NA;1740;Marche;Sibilla;Sibilla;OD:202;Monte Sibilla;Montemonaco;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
203;203;Isola San Biagio;13.29862;42.917679;1260;NA;1260;Marche;Isola San Biagio;Isola San Biagio;OD:203;Isola San Biagio;Montefortino;FM;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
204;204;Sarnano;13.241568;43.006702;1365;NA;1365;Marche;Sarnano;Sarnano;OD:204;Sassotetto;Sarnano;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
205;205;Pizzo Tre Vescovi;13.205391;42.954021;1825;NA;1825;Marche;Pizzo Tre Vescovi;Pizzo Tre Vescovi;OD:205;Forcella del Fargno;Ussita;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
206;206;Monte Prata;13.205087;42.873444;1813;NA;1813;Marche;Monte Prata;Monte Prata;OD:206;Monte Prata;Castelsantangelo sul Nera;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
207;207;Monte Bove Sud;13.189062;42.91153;1917;NA;1917;Marche;Monte Bove Sud;Monte Bove Sud;OD:207;Monte Bove;Ussita;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
401;401;Montefano;13.437233;43.408001;215;NA;215;Marche;Montefano;Montefano;OD:401;Montefano;Montefano;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
402;402;Appignano;13.343056;43.364166;195;NA;195;Marche;Appignano;Appignano;OD:402;Appignano;Appignano del Tronto;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
403;403;Serralta;13.188611;43.315834;549;NA;549;Marche;Serralta;Serralta;OD:403;Serralta;San Severino Marche;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
404;404;Villa Potenza;13.426125;43.327351;133;NA;133;Marche;Villa Potenza;Villa Potenza;OD:404;Villa Potenza;Macerata;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
501;501;Scheggia;12.65876;43.40649;688;NA;688;Umbria;Scheggia;Scheggia;OD:501;Scheggia;Scheggia e Pascelupo;PG;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
502;502;Campodiegoli;12.824278;43.310402;532;NA;532;Marche;Campodiegoli;Campodiegoli;OD:502;Campodiegoli;Fabriano;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
503;503;Esanatoglia convento;12.943316;43.253132;608;NA;608;Marche;Esanatoglia convento;Esanatoglia convento;OD:503;Esanatoglia;Esanatoglia;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
504;504;San Giovanni;13.041702;43.38866;625;NA;625;Marche;San Giovanni;San Giovanni;OD:504;San Giovanni;Fabriano;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
505;505;Colleponi;12.904464;43.43375;254;NA;254;Marche;Colleponi;Colleponi;OD:505;Colleponi;Genga;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
