SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
105;LA MAINA;C102;OD:C102;46.4509;12.7331;1169;Italy;FVG;Quota ricavata da dem
106;CASERA CHIANSAVEIT;C103;OD:C103;46.4519;12.6264;1642;Italy;FVG;Quota ricavata da dem
107;CASERA PIELTINIS;C104;OD:C104;46.4845;12.723;1785;Italy;FVG;Quota ricavata da dem
108;AMPEZZO;C120;OD:C120;46.4148;12.7988;530;Italy;FVG;Quota ricavata da dem
109;FORNI AVOLTRI;C150;OD:C150;46.5868;12.7738;936;Italy;FVG;Quota ricavata da dem
110;COLLINA;C151;OD:C151;46.5856;12.839;1345;Italy;FVG;Quota ricavata da dem
111;PRATO CARNICO PONTE R. AGAZZO;C152;OD:C152;46.5199;12.8113;728;Italy;FVG;Quota ricavata da dem
112;PRATO CARNICO PONTE T. PESARINA;C153;OD:C153;46.5188;12.8056;712;Italy;FVG;Quota ricavata da dem
113;PESARIIS;C154;OD:C154;46.5218;12.7757;760;Italy;FVG;Quota ricavata da dem
114;COMEGLIANS;C155;OD:C155;46.5057;12.8645;558;Italy;FVG;Quota ricavata da dem
115;RAVASCLETTO;C156;OD:C156;46.519;12.9166;948;Italy;FVG;Quota ricavata da dem
116;CHIALINA;C159;OD:C159;46.4741;12.8715;513;Italy;FVG;Quota ricavata da dem
117;PE' DI CLEVA CENTRO SCI NORDICO;C164;OD:C164;46.5705;12.7464;1065;Italy;FVG;Quota ricavata da dem
118;ESEMON DI SOTTO;C183;OD:C183;46.4112;12.9068;381;Italy;FVG;Quota ricavata da dem
119;RAVEO;C184;OD:C184;46.4331;12.8706;520;Italy;FVG;Quota ricavata da dem
120;VILLA SANTINA;C185;OD:C185;46.4182;12.9115;440;Italy;FVG;Quota ricavata da dem
121;PASSO DI MONTE CROCE CARNICO;C200;OD:C200;46.6028;12.945;1522;Italy;FVG;Quota ricavata da dem
122;TIMAU;C201;OD:C201;46.5764;13.0068;855;Italy;FVG;Quota ricavata da dem
123;CLEULIS;C202;OD:C202;46.5677;13.0056;822;Italy;FVG;Quota ricavata da dem
124;PALUZZA;C203;OD:C203;46.5281;13.0118;595;Italy;FVG;Quota ricavata da dem
125;ZOVELLO;C204;OD:C204;46.5308;12.9494;934;Italy;FVG;Quota ricavata da dem
126;MALGA PLOTTA;C206;OD:C206;46.5942;12.8991;2066;Italy;FVG;Quota ricavata da dem
127;MALGA PRAMOSIO;C207;OD:C207;46.5875;13.0296;1564;Italy;FVG;Quota ricavata da dem
128;CASERA ZOUFPLAN BASSA;C208;OD:C208;46.5571;12.9839;1528;Italy;FVG;Quota ricavata da dem
129;RIFUGIO TAMAI;C211;OD:C211;46.5015;12.9315;1660;Italy;FVG;Quota ricavata da dem
130;PAULARO;C230;OD:C230;46.5263;13.1209;678;Italy;FVG;Quota ricavata da dem
131;Ponte Lovea;C231;OD:C231;46.4732;13.075;542;Italy;FVG;Quota ricavata da dem
132;CEDARCHIS;C232;OD:C232;46.4564;13.0359;434;Italy;FVG;Quota ricavata da dem
133;CASON DI LANZA;C235;OD:C235;46.568;13.1687;1703;Italy;FVG;Quota ricavata da dem
134;CASERA DEL MESTRI;C236;OD:C236;46.4812;13.1414;1550;Italy;FVG;Quota ricavata da dem
135;AVOSACCO;C260;OD:C260;46.4793;13.0206;500;Italy;FVG;Quota ricavata da dem
136;ARTA TERME;C261;OD:C261;46.4743;13.025;629;Italy;FVG;Quota ricavata da dem
137;Terme di Arta;C262;OD:C262;46.4772;13.0183;500;Italy;FVG;Quota ricavata da dem
138;TOLMEZZO;C263;OD:C263;46.4226;13.0225;397;Italy;FVG;Quota ricavata da dem
139;TOLMEZZO PONTE DI CANEVA;C264;OD:C264;46.4098;13.0052;352;Italy;FVG;Quota ricavata da dem
140;CAMPOROSSO;C300;OD:C300;46.5087;13.524;913;Italy;FVG;Quota ricavata da dem
141;VAL UGOVIZZA;C301;OD:C301;46.548;13.4784;1267;Italy;FVG;Quota ricavata da dem
142;Ugovizza;C303;OD:C303;46.5104;13.4717;851;Italy;FVG;Quota ricavata da dem
143;MALBORGHETTO PONTE PER NEBRIA;C304;OD:C304;46.506100000000004;13.44;741;Italy;FVG;Quota ricavata da dem
144;MALGA ACOMIZZA;C307;OD:C307;46.5481;13.5152;1637;Italy;FVG;Quota ricavata da dem
145;Pontebba ponte vecchio SS 13;C331;OD:C331;46.5092;13.3256;689;Italy;FVG;Quota ricavata da dem
