SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
179;PETTINENGO;345;OD:345;45.608056;8.102575;683;Italy;Piemonte;Quota ricavata da dem
180;ANDRATE PINALBA;346;OD:346;45.561025;7.892286;1557;Italy;Piemonte;Quota ricavata da dem
181;COLLERETTO;347;OD:347;45.442319;7.659607;1182;Italy;Piemonte;Quota ricavata da dem
182;CERESOLE VILLA;348;OD:348;45.440186;7.210991;1631;Italy;Piemonte;Quota ricavata da dem
183;MALCIAUSSIA;349;OD:349;45.20778;7.148372;1879;Italy;Piemonte;Quota ricavata da dem
184;NIQUIDETTO;350;OD:350;45.196913;7.358947;1277;Italy;Piemonte;Quota ricavata da dem
185;VARISELLA;351;OD:351;45.193293;7.469655;593;Italy;Piemonte;Quota ricavata da dem
186;MASSELLO;352;OD:352;44.959964;7.064859;1475;Italy;Piemonte;Quota ricavata da dem
187;VACCERA;353;OD:353;44.875133;7.201638;1343;Italy;Piemonte;Quota ricavata da dem
188;BARGE;354;OD:354;44.731872;7.249617;1020;Italy;Piemonte;Quota ricavata da dem
189;BELLINO;355;OD:355;44.575045;6.982972;2067;Italy;Piemonte;Quota ricavata da dem
190;BROSSASCO;356;OD:356;44.568239;7.373378;675;Italy;Piemonte;Quota ricavata da dem
191;CANOSIO;357;OD:357;44.454536;7.086471;1322;Italy;Piemonte;Quota ricavata da dem
192;S. GIACOMO DEMONTE;358;OD:358;44.345636;7.203181;1380;Italy;Piemonte;Quota ricavata da dem
193;VINADIO S. BERNOLFO;359;OD:359;44.261595;7.043822;1623;Italy;Piemonte;Quota ricavata da dem
194;PIAGGIA;360;OD:360;44.071767;7.731327;1653;Italy;Piemonte;Quota ricavata da dem
195;MONTE CARZA;361;OD:361;46.042601;8.67972;904;Italy;Piemonte;Quota ricavata da dem
196;PAROLDO;363;OD:363;44.445761;8.081221;750;Italy;Piemonte;Quota ricavata da dem
197;MONCALIERI SANGONE;365;OD:365;45.007821;7.668563;220;Italy;Piemonte;Quota ricavata da dem
198;VILLAFRANCA PELLICE;370;OD:370;44.812064;7.499439;253;Italy;Piemonte;Quota ricavata da dem
199;TORINO DORA RIPARIA;371;OD:371;45.075856;7.71803;215;Italy;Piemonte;Quota ricavata da dem
200;TORINO STURA DI LANZO;372;OD:372;45.111211;7.706548;219;Italy;Piemonte;Quota ricavata da dem
201;BRANDIZZO MALONE;373;OD:373;45.182024;7.85193;184;Italy;Piemonte;Quota ricavata da dem
202;SAN BENIGNO ORCO;374;OD:374;45.246798;7.806179;214;Italy;Piemonte;Quota ricavata da dem
203;VEROLENGO DORA BALTEA;375;OD:375;45.192007;8.041259;163;Italy;Piemonte;Quota ricavata da dem
204;VARALLO MASTALLONE;376;OD:376;45.830484;8.255685;578;Italy;Piemonte;Quota ricavata da dem
205;CARISIO ELVO;377;OD:377;45.418613;8.207511;186;Italy;Piemonte;Quota ricavata da dem
206;GRAVELLONA STRONA;378;OD:378;45.926886;8.434252;201;Italy;Piemonte;Quota ricavata da dem
207;NOVARA AGOGNA;379;OD:379;45.431025;8.590679;143;Italy;Piemonte;Quota ricavata da dem
208;POLONGHERA VARAITA;381;OD:381;44.802405;7.59867;247;Italy;Piemonte;Quota ricavata da dem
209;RACCONIGI MAIRA;382;OD:382;44.76756;7.667296;257;Italy;Piemonte;Quota ricavata da dem
210;CARRU' PESIO;383;OD:383;44.464835;7.882912;301;Italy;Piemonte;Quota ricavata da dem
211;MONTEROSSO GRANA;385;OD:385;44.409399;7.324373;874;Italy;Piemonte;Quota ricavata da dem
212;MONDOVI' ELLERO;386;OD:386;44.390209;7.820049;446;Italy;Piemonte;Quota ricavata da dem
213;CESSOLE BORMIDA;387;OD:387;44.649367;8.249284;217;Italy;Piemonte;Quota ricavata da dem
214;PONT SOANA;388;OD:388;45.421595;7.601607;481;Italy;Piemonte;Quota ricavata da dem
215;BUSALLA;397;OD:397;44.558205;8.946472;429;Italy;Piemonte;Quota ricavata da dem
216;ROSSIGLIONE;398;OD:398;44.575145;8.658684;326;Italy;Piemonte;Quota ricavata da dem
217;CAIRO MONTENOTTE;399;OD:399;44.388754;8.279239;348;Italy;Piemonte;Quota ricavata da dem
218;RIFUGIO GASTALDI;004;OD:004;45.298081;7.143266;2598;Italy;Piemonte;Quota ricavata da dem
219;BEAULARD DORA DI BARDONECCHIA;401;OD:401;45.046711;6.75812;1200;Italy;Piemonte;Quota ricavata da dem
220;OULX DORA RIPARIA;402;OD:402;45.033608;6.833394;1095;Italy;Piemonte;Quota ricavata da dem
221;SUSA CENISCHIA;403;OD:403;45.141829;7.056017;732;Italy;Piemonte;Quota ricavata da dem
222;PONTETTO ISORNO;406;OD:406;46.151741;8.328249;471;Italy;Piemonte;Quota ricavata da dem
223;PONTE CADDO BOGNA;409;OD:409;46.121782;8.274046;382;Italy;Piemonte;Quota ricavata da dem
224;CARIGNANO PO;412;OD:412;44.908819;7.691195;231;Italy;Piemonte;Quota ricavata da dem
225;BORGOSESIA SESIA;413;OD:413;45.736729;8.260531;416;Italy;Piemonte;Quota ricavata da dem
226;TAVAGNASCO DORA BALTEA;414;OD:414;45.548058;7.826822;274;Italy;Piemonte;Quota ricavata da dem
227;LANZO STURA DI LANZO;415;OD:415;45.268343;7.482822;489;Italy;Piemonte;Quota ricavata da dem
228;SAN MARTINO CHISONE;417;OD:417;44.885361;7.283031;493;Italy;Piemonte;Quota ricavata da dem
229;LUSERNA S. GIOVANNI PELLICE;418;OD:418;44.811129;7.243907;468;Italy;Piemonte;Quota ricavata da dem
230;ROSSANA VARAITA;420;OD:420;44.554272;7.441529;512;Italy;Piemonte;Quota ricavata da dem
231;BUSCA MAIRA;421;OD:421;44.515045;7.481391;491;Italy;Piemonte;Quota ricavata da dem
232;GAIOLA STURA DI DEMONTE;422;OD:422;44.331985;7.416511;739;Italy;Piemonte;Quota ricavata da dem
233;SERRAVALLE SCRIVIA;423;OD:423;44.725065;8.860956;219;Italy;Piemonte;Quota ricavata da dem
234;VOLPEDO CURONE;424;OD:424;44.887034;8.982953;188;Italy;Piemonte;Quota ricavata da dem
235;CASTELNUOVO BELBO;427;OD:427;44.798399;8.418901;144;Italy;Piemonte;Quota ricavata da dem
236;CORIO;428;OD:428;45.309216;7.544813;535;Italy;Piemonte;Quota ricavata da dem
237;ALBA TANARO;429;OD:429;44.705228;8.02758;163;Italy;Piemonte;Quota ricavata da dem
238;CASAL CERMELLI ORBA;430;OD:430;44.832896;8.631497;108;Italy;Piemonte;Quota ricavata da dem
239;CASSINE BORMIDA;431;OD:431;44.751393;8.542509;117;Italy;Piemonte;Quota ricavata da dem
240;FARIGLIANO TANARO;435;OD:435;44.517115;7.901655;246;Italy;Piemonte;Quota ricavata da dem
241;FOBELLO;437;OD:437;45.893966;8.158537;1257;Italy;Piemonte;Quota ricavata da dem
242;SABBIA;438;OD:438;45.856883;8.236616;643;Italy;Piemonte;Quota ricavata da dem
243;CASALE MONFERRATO PO;440;OD:440;45.14182;8.447679;113;Italy;Piemonte;Quota ricavata da dem
244;DOMODOSSOLA TOCE;441;OD:441;46.112595;8.306299;267;Italy;Piemonte;Quota ricavata da dem
245;MOMO AGOGNA;442;OD:442;45.571136;8.547717;208;Italy;Piemonte;Quota ricavata da dem
247;CALTIGNAGA TERDOPPIO;444;OD:444;45.518727;8.609903;175;Italy;Piemonte;Quota ricavata da dem
248;FOMARCO;445;OD:445;46.004079;8.265875;294;Italy;Piemonte;Quota ricavata da dem
249;TORINO GIARDINI REALI;446;OD:446;45.071707;7.691915;230;Italy;Piemonte;Quota ricavata da dem
250;BOCCHETTA DELLE PISSE;006;OD:006;45.875551;7.901;2200;Italy;Piemonte;Quota ricavata da dem
251;CANDOGLIA TOCE;604;OD:604;45.974769;8.421824;375;Italy;Piemonte;Quota ricavata da dem
252;MOTTARONE - BAITA CAI;635;OD:635;45.880183;8.447045;1381;Italy;Piemonte;Quota ricavata da dem
253;MOTTAC;637;OD:637;46.061405;8.404268;1568;Italy;Piemonte;Quota ricavata da dem
254;SAMBUGHETTO;638;OD:638;45.906249;8.311323;807;Italy;Piemonte;Quota ricavata da dem
255;PALLANZA;641;OD:641;45.924138;8.548765;196;Italy;Piemonte;Quota ricavata da dem
256;LAGO PAIONE;642;OD:642;46.175985;8.190366;2333;Italy;Piemonte;Quota ricavata da dem
257;PASSO DEL MORO;007;OD:007;45.997038;7.976467;2837;Italy;Piemonte;Quota ricavata da dem
258;LAGO PILONE;008;OD:008;45.002284;6.876129;2220;Italy;Piemonte;Quota ricavata da dem
259;PRAGELATO - TRAMPOLINO A VALLE;095;OD:095;45.008798;6.941292;1537;Italy;Piemonte;Quota ricavata da dem
