SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;SiteName_CentroFunzionale;FullSiteCode;State
442;576100;Cisterna di Latina;12.8233;41.5894;71;71;NA;Lazio;Cisterna di Latina;OD:576100;Italy
443;576200;Cori;12.9153;41.6414;305;305;NA;Lazio;Cori;OD:576200;Italy
444;576300;Giuliano di Roma;13.2794;41.5411;291;291;NA;Lazio;Giuliano di Roma;OD:576300;Italy
446;576700;Ladispoli rlazio;12.07;41.955;6;6;NA;Lazio;Ladispoli rlazio;OD:576700;Italy
450;577100;Monte Romano;11.8942;42.2686;267;267;NA;Lazio;Monte Romano;OD:577100;Italy
451;577200;Maccarese rlazio;12.2194;41.8175;1;1;NA;Lazio;Maccarese rlazio;OD:577200;Italy
453;577500;Bolsena;11.9722;42.6533;352;352;NA;Lazio;Bolsena;OD:577500;Italy
457;578100;Lago di Albano;12.6539;41.7461;286;286;NA;Lazio;Lago di Albano;OD:578100;Italy
458;578300;Acquapendente;11.8769;42.7442;397;397;NA;Lazio;Acquapendente;OD:578300;Italy
460;578600;Nepi;12.3378;42.2411;223;223;NA;Lazio;Nepi;OD:578600;Italy
467;63600;Lago di Corbara;12.2364;42.6983;151;151;NA;Lazio;Lago di Corbara;OD:63600;Italy
